Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,13,Sun,2017-10-22,18:00,Wisła Kraków,0–1,Legia Warsaw,33000,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,13,Mon,2017-10-23,18:00,Wisła Płock,4–1,Śląsk Wrocław,3613,Stadion im. Kazimierza Górskiego,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2017-10-27,18:00,Śląsk Wrocław,3–0,Pogoń Szczecin,12445,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,14,Fri,2017-10-27,20:30,Lech Poznań,1–1,Wisła Kraków,26361,INEA stadion,Daniel Stefański,Match Report,
Regular Season,14,Sat,2017-10-28,15:30,Piast Gliwice,2–1,Wisła Płock,3784,Stadion Miejski,Yusuke Araki,Match Report,
Regular Season,14,Sat,2017-10-28,18:00,Cracovia,1–1,Nieciecza,6431,Stadion Cracovii,Zbigniew Dobrynin,Match Report,
Regular Season,14,Sat,2017-10-28,20:30,Nowy Sącz,1–2,Górnik Zabrze,1448,Stadion im. Ojca Władysława Augustynka,Paweł Gil,Match Report,
Regular Season,14,Sun,2017-10-29,15:30,Jagiellonia,3–1,Zagłębie Lubin,8375,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,14,Sun,2017-10-29,18:00,Legia Warsaw,2–0,Arka Gdynia,14428,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Zlotek,Match Report,
Regular Season,14,Mon,2017-10-30,18:00,Lechia Gdańsk,0–5,Korona Kielce,7066,Stadion Energa Gdańsk,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2017-11-03,18:00,Korona Kielce,3–0,Śląsk Wrocław,8147,Kolporter Arena,Zbigniew Dobrynin,Match Report,
Regular Season,15,Fri,2017-11-03,20:30,Arka Gdynia,0–1,Lechia Gdańsk,14113,Stadion GOSiR,Daniel Stefański,Match Report,
Regular Season,15,Sat,2017-11-04,15:30,Wisła Płock,1–2,Jagiellonia,4111,Stadion im. Kazimierza Górskiego,Mariusz Zlotek,Match Report,
Regular Season,15,Sat,2017-11-04,18:00,Wisła Kraków,3–0,Nowy Sącz,4111,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,15,Sat,2017-11-04,20:30,Górnik Zabrze,3–1,Lech Poznań,24563,Arena Zabrze,Bartosz Frankowski,Match Report,
Regular Season,15,Sun,2017-11-05,15:30,Zagłębie Lubin,1–2,Cracovia,5219,Stadion Zagłębia Lubin,Jarosław Przybył,Match Report,
Regular Season,15,Sun,2017-11-05,15:30,Nieciecza,2–1,Piast Gliwice,2612,Stadion Bruk-Bet,Szymon Marciniak,Match Report,
Regular Season,15,Sun,2017-11-05,18:00,Pogoń Szczecin,1–3,Legia Warsaw,6192,Stadion Miejski im. Floriana Krygiera,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2017-11-17,18:00,Jagiellonia,0–0,Nieciecza,6973,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,16,Fri,2017-11-17,20:30,Wisła Kraków,1–0,Pogoń Szczecin,11398,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,16,Sat,2017-11-18,15:30,Piast Gliwice,1–0,Cracovia,4297,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,16,Sat,2017-11-18,18:00,Nowy Sącz,0–0,Lech Poznań,2544,Stadion im. Ojca Władysława Augustynka,Krzysztof Jakubik,Match Report,
Regular Season,16,Sat,2017-11-18,20:30,Lechia Gdańsk,3–0,Wisła Płock,7670,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,16,Sun,2017-11-19,15:30,Śląsk Wrocław,1–2,Arka Gdynia,8421,Stadion Miejski,Piotr Lasyk,Match Report,
Regular Season,16,Sun,2017-11-19,18:00,Legia Warsaw,1–0,Górnik Zabrze,24981,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,16,Mon,2017-11-20,18:00,Zagłębie Lubin,0–0,Korona Kielce,3784,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2017-11-24,18:00,Cracovia,2–1,Lechia Gdańsk,5611,Stadion Cracovii,Piotr Lasyk,Match Report,
Regular Season,17,Fri,2017-11-24,20:30,Górnik Zabrze,3–1,Jagiellonia,22708,Arena Zabrze,Krzysztof Jakubik,Match Report,
Regular Season,17,Sat,2017-11-25,16:00,Pogoń Szczecin,2–2,Piast Gliwice,1611,Stadion Miejski im. Floriana Krygiera,Łukasz Szczech,Match Report,
Regular Season,17,Sat,2017-11-25,18:00,Arka Gdynia,5–0,Nowy Sącz,5064,Stadion GOSiR,Zbigniew Dobrynin,Match Report,
Regular Season,17,Sat,2017-11-25,20:30,Korona Kielce,3–2,Legia Warsaw,15200,Kolporter Arena,Mariusz Zlotek,Match Report,
Regular Season,17,Sun,2017-11-26,15:30,Lech Poznań,2–1,Wisła Płock,13587,INEA stadion,Tomasz Musiał,Match Report,
